Municipality,Area (km²),Area,Population (2022)
Aileu,676 km²,676.00,"54,631 people"
Ainaro,869.8 km²,869.80,"72,989 people"
Atauro,140.5 km²,140.50,"10,302 people"
Baucau,"1,508 km²","1,508.00","133,881 people"
Bobonaro,"1,380.8 km²","1,380.80","106,543 people"
Cova Lima,"1,206.7 km²","1,206.70","73,909 people"
Dili,227.6 km²,227.60,"324,269 people"
Ermera,770.8 km²,770.80,"138,080 people"
Lautém,"1,813.1 km²","1,813.10","69,836 people"
Liquiçá,551 km²,551.00,"83,689 people"
Manatuto,"1,786 km²","1,786.00","50,989 people"
Manufahi,"1,326.6 km²","1,326.60","60,536 people"
Oecusse,817.2 km²,817.20,80726 people
Viqueque,1880.40 km²,"1,880.40","80,054 people"